type,organization,comment,coords,photo,address,district,subdistrict,province,timestamp
อื่นๆ,เพื่อนชัชชาติ,อยากให้แก้ปัญหาเด็กเช็ดกระจกรถตามสี่แยกไฟแดงครับ,"[100.560608720147,13.7369425530193]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/32f57ba6010a04610fcf651e07b27b7282426b8e.jpg,"111 ชั้น 1 ถ. สุขุมวิท แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",วัฒนา,คลองเตยเหนือ,กรุงเทพมหานคร,"2022-03-17 11:46:14.841681+00"
อื่นๆ,เพื่อนชัชชาติ,"ขอแจ้งทางม้าลายไม่ปลอดภัยและไม่เหมาะสมบริเวณถนนด้านหน้าศาลาว่าการ กทม. ดินแดง ครับ ขอให้ช่วยพิจารณาย้ายทางม้าลายมาอยู่ในจุดที่เหมาะสมตามเส้นทางการเดินของประชาชน","[100.553002,13.770786]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/5bb7179bb71846065bf62e877fcd3b4fc270a005.jpg,"24 ถนน มิตรไมตรี แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",พญาไท,สามเสนใน,กรุงเทพมหานคร,"2022-03-17 06:10:35.842482+00"
อื่นๆ,เพื่อนชัชชาติ,"พื้นถนนไม่เสมอกัน มีหลุมฝาท่อ","[100.58846,13.89741]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/9f6e3251c364be5460a3abc5d81f9b16a185e7c1.jpg,"363 ถนน กำแพงเพชร 6 แขวง ดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย",ดอนเมือง,สนามบิน,กรุงเทพมหานคร,"2022-03-16 11:23:49.780516+00"
ทางเท้า,เพื่อนชัชชาติ,"สวัสดีครับ ขอแจ้งเรื่องร้องทุกข์ชาวบ้านเดือนร้อนเกี่ยวกับการก่อสร้างทาง  sky walk เชื่อมต่อจาก bts ตลาดพลูมาแค่หน้านิติบุคคลอาชุดอัลติจูด ซึ่งทางนิติไม่ได้ลงสำรวจประชามติกับทางชาวบ้านเลยครับ","[100.474905,13.712991]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/8492a2e9643f8aefc7e3dff16df966c91d4557a2.jpg,"789 ถนน ราชพฤกษ์ แขวง ตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",จอมทอง,บางค้อ,กรุงเทพมหานคร,"2022-03-15 13:36:10.447933+00"
อื่นๆ,เพื่อนชัชชาติ,ถนน,"[100.568409,13.823189]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/39a3581cbadea3284a650e5a6775bb6db15a61c8.jpg,"12 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-15 06:21:50.556254+00"
อื่นๆ,เพื่อนชัชชาติ,ต้องการแจ้งปัญหาค่ะ,"[100.559420697391,13.7700806101757]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/e3a6eb00a8abc95db16e464dff385aee1bd45136.jpg,"4673/1 Prachasongkhroa Road Ratchadapisek แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-03-15 02:24:52.155078+00"
อื่นๆ,เพื่อนชัชชาติ,"เนินสะดุด พหลโยธิน ซอย 9 ชำรุดมาก ขูดใต้ท้องรถประจำ แจ้ง BEST 1555 แล้วยังไม่ได้รับการแก้ไข","[100.544958226383,13.7863441269502]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/b91121248861fa701286b4a084c9365eb77a080e.jpg,"27 ซอย พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย",พญาไท,สามเสนใน,กรุงเทพมหานคร,"2022-03-14 09:13:19.210936+00"
อื่นๆ,เพื่อนชัชชาติ,"สวัสดีค่ะ ตรงปากซอยสุขุมวิท 40 มีทางม้าลายแต่มีรั้วของสำนักการระบายน้ำ กรุงเทพมหานคร มากั้นไว้ เข้าใจว่ากำลังอยู่ในระหว่างการก่อสร้างปรับปรุงอะไรอยู่  แต่ว่าด้วยความที่รั้วกั้นมันเลยถนนออกเยอะมาก รถที่จะเลี้ยวมาก็มองไม่เห็นคนจะข้ามถนน คนที่จะข้ามก็จะมองไม่เห็นรถ อันตรายมากๆ ค่ะ ไม่ทราบว่าจะปรับปรุงหรือมีวิธีการเดินยังไงดีค่ะ","[100.579461308898,13.7197403673461]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/03e8ca2122e37abe2bf82f5fef7f2326aead5e6e.jpg,"57 ถ. สุขุมวิท แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",คลองเตย,พระโขนง,กรุงเทพมหานคร,"2022-03-13 11:15:53.230114+00"
จราจร,เพื่อนชัชชาติ,"ชุมชนไม่มีทางออกถนนใหญ่ ในเขตประเวศ แขวงดอกไม้ กทม.
ชุมชนคลองปักหลักพัฒนา ทำให้ รถพยาบาล รถดับเพลิง เข้าไม่ได้ ทางเดินริมคลองแคบ เกิดอุบัติเหตุบ่อย ไฟไหม้ เจ็บป่วย ไม่มีรถดับเพลิง รถพยาบาล เข้าถึง","[100.696346126497,13.6794261068856]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/de9deaf13be020507e369411a9af8b565e17e8d7.jpg,"12 ซอย กาญจนาภิเษก 48 แขวง ดอกไม้ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย",ประเวศ,ดอกไม้,กรุงเทพมหานคร,"2022-03-13 09:08:11.461257+00"
ขยะ,เพื่อนชัชชาติ,"เหตุเกิดบน ถ.พหลโยธิน บริเวณหน้าปากซอยหมู่บ้านมิตรโยธิน อยู่ระหว่างซอยพหลโยธิน 24 และซอยพหลโยธิน 26 พบกองขยะกองอยู่บนทางเท้าทุกวัน สร้างทัศนะอุจาดให้ผู้ที่เดินผ่านไปมา","[100.566734,13.824416]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/c947965589d071955a7cf27ea725f2dc9b615a2f.jpg,"1418/1 ถ. พหลโยธิน แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-12 17:19:09.014693+00"
ขยะ,เพื่อนชัชชาติ,"เหตุเกิดในซอยพหลโยธิน 24 บริเวณหน้า Seven Eleven สาขา พหลโยธิน 24 (ปากซอย) พบการวางขายรถอาหารบนถนน กินพื้นที่ด้านซ้ายไปจนหมด ทำให้คนเดินเท้าต้องไปเดินบนถนน สร้างอันตรายเป็นอย่างมาก โดยเฉพาะเวลากลางคืน","[100.567246,13.823062]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/4470ea206d6156f94e3ee84298ad5ba1d6736115.jpg,"4 ซอยพหลโยธิน 24 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-12 17:15:11.621315+00"
ทางเท้า,เพื่อนชัชชาติ,แจ้งเหตุ,"[100.442324,13.776359]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/1632e47f48ba1f1a942386b97ad7a609651e402f.jpg,"13/10 ถนน บรมราชชนนี แขวง ฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย",ตลิ่งชัน,ฉิมพลี,กรุงเทพมหานคร,"2022-03-10 09:35:56.749477+00"
อื่นๆ,เพื่อนชัชชาติ,"เส้นทางที่แชร์
จาก ยโสธรยอดลาบเป็ด ไป แยก นาหลวง แขวง บางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 ผ่าน ถ. ประชาอุทิศ

10 นาที (800 ม.)


1. มุ่งไปทางทิศ ตะวันตกเฉียงใต้ ไปตาม ถ. ประชาอุทิศ เข้าสู่ ซอย ประชาอุทิศ 41/ซอย เลียบคลองขวาง
2. เลี้ยวขวา ที่ แยก นาหลวง และขับไปตาม ถ. ประชาอุทิศ
3. ถึงสถานที่: แยก นาหลวง
หากต้องการดูเส้นทางนี้ ไปที่ https://maps.app.goo.gl/H7YgKSjkQPBoEzxT8","[100.496949,13.651476]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/52514bb5e75f751f0e589c500a3ed66b2fb5e654.jpg,"839 Pracha Uthit 45 Alley แขวง บางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย",ทุ่งครุ,บางมด,กรุงเทพมหานคร,"2022-03-09 18:35:53.281361+00"
ความปลอดภัย,เพื่อนชัชชาติ,ฝาท่อ,"[100.491815,13.730618]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/c17a8f001781241eb0d287a20b2290229b7cac43.jpg,"909 ซอย อิสรภาพ 13 แขวง หิรัญรูจี เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",ธนบุรี,หิรัญรูจี,กรุงเทพมหานคร,"2022-03-09 03:13:51.284742+00"
อื่นๆ,เพื่อนชัชชาติ,ทางเท้าชำรุด,"[100.45804,13.720166]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/ad776f48715b10a36995f5dddc62edc28f29ecd1.jpg,"283 Bang Wa 3 ถนน เพชรเกษมสายเก่า แขวง ปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย",ภาษีเจริญ,ปากคลองภาษีเจริญ,กรุงเทพมหานคร,"2022-03-08 06:45:42.524673+00"
อื่นๆ,เพื่อนชัชชาติ,ที่นอนถูกทิ้งลงคลอง,"[100.447261,13.72695]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/811bcb9761e3e07c376fb13b28a249a0bcfca62c.jpg,"71 ร่วมพัฒนา แขวง บางจาก เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย",ภาษีเจริญ,บางจาก,กรุงเทพมหานคร,"2022-03-08 06:30:00.697402+00"
จราจร,เพื่อนชัชชาติ,"พื้นถนนบริเวณซอย วิภาวดีฯ ซอย 3 แผ่นถนนไม่ราบเรียบ ขรุขระ มีหลุมบ่อ สัญจรลำบาก โดยรถพยายาม หลบหลุมบ่อนั้น ก่อให้เกิดอันตราย","[100.558366,13.797092]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/4b8d2fa670f2b62d21caa1d1a02e2e6d6e6dacad.jpg,"65 ซอย วิภาวดีรังสิต 3 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-08 05:37:27.983998+00"
ความปลอดภัย,เพื่อนชัชชาติ,"อยากรบกวนขอเปลี่ยนตะแกรงฝาท่อแยกราชวัตรครับ
ตะแกรงแนวทาง ล้อรถจักรยานลงไปตีลังกาได้เลยอะฮะ","[100.522343851626,13.7794542911595]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/36c8f772191a887f0a582a06ab97784270635212.jpg,"280 ถ. พระรามที่ ๕ แขวง ถนนดุสิต เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย",ดุสิต,ถนนนครไชยศรี,กรุงเทพมหานคร,"2022-03-08 02:36:34.74517+00"
อื่นๆ,เพื่อนชัชชาติ,"คูคลองตื้นเขิน. น้ำไหลเวียนไม่สะดวก","[100.51740322262,13.678033780088]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/b4497a52e1b6689d02e765cf7df510036a82c807.jpg,"503 Rat Burana แขวง ราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย",ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,"2022-03-07 08:26:31.44126+00"
อื่นๆ,เพื่อนชัชชาติ,ถนน,"[100.568277,13.82708]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/7da2301f08ada1aa68e2ecbdd2cdc8988a5b04f5.jpg,"178/6 Ratchadapisek Rd. Ladyao Chatuchak Bangkok 10900 แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 14:24:29.214191+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนพหลโยธิน บริเวณหน้าโลตัสลาดพร้าว พบการทิ้งขยะบนทางเท้าบริเวณนี้เป็นประจำ ทำให้เท้าสกปรก สร้างทัศนะอุจาดให้ผู้พบเห็น","[100.563095,13.818236]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/996d18fa44eee1f4fe9ff88715228d5b3a79bed1.jpg,"1194/9 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 14:17:27.671947+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถ.ลาดพร้าว จุดที่กำลังจะออกไปยังถนนพหลโยธินตรงห้าแยกลาดพร้าว พบไฟจราจรใช้การไม่ได้ เสี่ยงต่อการเกิดอุบัติเหตุ เนื่องจากเป็นจุดที่รถที่ออกจากถนนลาดพร้าวและถนนพหลโยธินเจอกันพอดี","[100.560306,13.813377]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/18846e6b5325d3be7116eb92c3bd6aba940ca212.jpg,"27 ถนนลาดพรัาว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:55:11.408313+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนลาดพร้าว บริเวณห้าแยกลาดพร้าว บนทางเท้าบนเกาะกลางใต้สะพาน หน้าสถานี MRT พหลโยธิน ทางเข้า-ออก 1 พบการตั้งวินมอเตอร์ไซค์บนทางเท้า ไม่รู้ว่าถูกกฎหมายหรือไม่ เพราะไม่พบข้อมูลวินมอเตอร์ไซค์ และไม่พบการตีเส้นสำหรับการยกเว้นให้จอดรถบนทางเท้า","[100.560444,13.813443]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/471f433ef876307c6c63907644a9cfcaae9824e7.jpg,"27 ถนนลาดพรัาว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:50:23.254766+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนลาดพร้าว บริเวณแยกรัชดา-ลาดพร้าว พบว่าไม่มีเส้นแบ่งเลนการจราจร ทั้งที่เป็นบริเวณที่อยู่ใกล้กับสี่แยก เป็นอันตรายต่อการขับรถเป็นอย่าวมาก","[100.574766,13.805332]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/14d317da44e6c8902c8b10e1e00c6618d5f5a7ba.jpg,"476 ถ. ลาดพร้าว แขวง จันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-06 12:46:19.975463+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนลาดพร้าว หน้าปากซอยลาดพร้าว 1 บริเวณหน้าสถานีรถไฟฟ้า MRT สถานีพหลโยธิน ทางเข้า-ออก 5 ใกล้กับห้างสรรพสินค้ายูเนียนมอลล์ พบทางเท้าชำรุด ไม่เรียบสม่ำเสมอ ไม่แน่ใจว่ามีการเอาแผ่นกระเบื้องออก หรือมีการซ่อมแซมแต่กลายเป็นแบบนี้","[100.562482,13.812353]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/1f77517fa22c6e3cbeb4f201276b8973e0d6b0ca.jpg,"93 ถ. ลาดพร้าว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-06 12:42:40.746247+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนลาดพร้าว หน้าปากซอยลาดพร้าว 1 บริเวณหน้าสถานีรถไฟฟ้า MRT สถานีพหลโยธิน ทางเข้า-ออก 5 ใกล้กับห้างสรรพสินค้ายูเนียนมอลล์ พบทางเท้าไม่สม่ำเสมอ ลักษณะเหมือนมีการเอาป้ายออก แต่ไม่มีการซ่อมแซมทางเท้าให้ดีหมือนเดิม","[100.562544,13.812319]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/55436177ee2866664cd3ecbc12cbc043ce0b955f.jpg,"93 ถ. ลาดพร้าว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-06 12:35:12.692775+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนนถนนกำแพงเพชร บริเวณหน้าตลาด อ.ต.ก. พบการรุกล้ำขายของบนทางเท้าจนแทบไม่เหลือทางให้คนเดินมาเป็นเวลาหลายปีแล้ว แต่ไม่เคยมีการดำเนินการแก้ไขจากเขตแต่อย่างใด","[100.54629,13.797501]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/8550a4aaa4596df32513e910c1b433360fbd7ed2.jpg,"เลขที่ 101 หมู่บ้าน ตลาด อตก จตุจักร ถนน กำแพงเพรช2 จตุจักร แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:32:09.451483+00"
อื่นๆ,เพื่อนชัชชาติ,ไฟฟ้า,"[100.546378,13.797477]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/a97931c1a3f5e89fca621c8bc86872e53144a3f6.jpg,"101 ถนน กำแพงเพชร แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:29:35.190236+00"
อื่นๆ,เพื่อนชัชชาติ,สายไฟฟ้า,"[100.560489,13.813666]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/cf4c378753b31c7d4ce23f1a5eac252691926ee5.jpg,"27 ถนนลาดพรัาว แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:24:42.49209+00"
อื่นๆ,เพื่อนชัชชาติ,"เหตุเกิดบนถนนพหลโยธิน บริเวณหน้าโลตัสลาดพร้าว พบทางเท้าสกปรกเนื่องจากมีการทิ้งขยะบนทางเท้าบริเวณนี้เป็นประจำ สร้างทัศนะอุจาดให้ผู้พบเห็น","[100.563111,13.818228]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/4bfae84907fd2376f9cf425731f6667420bf9885.jpg,"1194/9 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-03-06 12:16:51.498316+00"
อื่นๆ,เพื่อนชัชชาติ,จราจร,"[100.562016,13.816397]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/2ea0be5c7c73028d32fb7b900cc50eaffca9e39d.jpg,"ห้าแยกลาดพร้าว แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จอมพล,กรุงเทพมหานคร,"2022-03-06 11:46:12.030497+00"
